Timestamp,Tell us about your experience working with us [TSG makes a positive contribution to my work],Tell us about your experience working with us [TSG responds to my requests in a timely manner],Tell us about your experience working with us [TSG takes accountability for my requests],Tell us about your experience working with us [TSG staff are knowledgable ],Please rate your satisfaction with our services: [Account manager support],Please rate your satisfaction with our services: [Audio and Video Production Services],"Please rate your satisfaction with our services: [Business applications support (M-files, Salesforce, Enterprise, etc.)]",Please rate your satisfaction with our services: [Event services],Please rate your satisfaction with our services: [Project support],Please rate your satisfaction with our services: [Service Desk],Please rate your satisfaction with our services: [Studio services],Please rate your satisfaction with our services: [Vendor management services],Is there anything else you would like to share?,
1/11/2019 9:00:09,Mostly,Always,Always,Mostly,Satisfied,N/A do not use,Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,,Winter 2019
1/11/2019 9:06:51,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,Winter 2019
1/11/2019 9:17:03,Always,Always,Always,Sometimes,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,It seemed to take an excessively long time for TSG to find out the problem couldn't be fixed off site.  Also was inconvenienced on one occasion by having to bring work laptop unnecessarily to Boston (also cost TMC travel expenses),Winter 2019
1/11/2019 9:17:36,Always,Mostly,Always,Mostly,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 10:02:50,Always,Mostly,,Always,N/A do not use,Neutral,Satisfied,N/A do not use,Satisfied,Very Satisfied,N/A do not use,N/A do not use,Sean Austin and Paul Doherty have been incredibly helpful and wonderful to work with.,Winter 2019
1/11/2019 10:28:47,Always,Mostly,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 11:35:55,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,N/A do not use,"I docked business applications support by a point because I feel that we've been left straddling between Enterprise and Salesforce. Salesforce feels like it could be an amazing tool for departments to store information on the people they connect with, and for that information to be appropriately and simply made available between departments.

My experience with the business applications support staff has been more than  satisfactory. They are joyful, effective, responsive and empathetic. You all are clearly doing everything you can to offer the best tech support to the church possible, and that is felt. Just wanted to highlight an area for improvement that would make a significant difference from my point of view.

Thank you all so much for what you do, which I value infinitely.",Winter 2019
1/11/2019 12:41:05,Always,Always,Always,Always,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,N/A do not use,Very Satisfied,Very Satisfied,Very Satisfied,I love working with TSG and BMPS. Great teams! Thank you for their help & support over the years.,Winter 2019
1/11/2019 14:04:57,Always,Always,Always,Always,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,"You guys do a wonderful job, keep up the awesome work.",Winter 2019
1/11/2019 14:17:34,Always,Always,Always,Always,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,N/A do not use,Very Satisfied,N/A do not use,N/A do not use,,Winter 2019
1/11/2019 14:34:29,Always,Mostly,Sometimes,Mostly,N/A do not use,Satisfied,Neutral,N/A do not use,N/A do not use,Satisfied,N/A do not use,N/A do not use,I'd just like to say that I appreciate that the staff is friendly and I never feel like I'm being talked down to. ,Winter 2019
